Variable Name,Infosys Stock Information,Buy Qty.,Buy Price,Sell Price,Sell Qty.
Stock Name,Infosys Limited,,,,
Stock Code,EQ,589,"1,561.20","1,561.45",26
Stock High Day,"1,574.65",6,"1,561.15","1,561.60",103
Stock Low day,"1,555.10",100,"1,561.10","1,561.65",28
Date,"As on Jul 16, 2021 11:34:47 IST",60,"1,561.05","1,561.70",242
Symbol,INFY,"1,527","1,561.00","1,561.75",33
ISIN Code,INE009A01021,"2,93,322",Total Quantity,"4,84,311",
Status Code,Listed,,,,
Previous Close,"1,580.80",,,,
Stock Open Value,"1,573.75",,,,
Stock Last,"1,561.20",,,,
Stock Precentage changes,-1.24%,,,,
Stock Value Increased_by,-19.6,,,,
VWAP,"1,566.45",,,,
Stock Face Value,5,,,,
Traded Volume (Shares),"23,59,406",,,,
Traded Value (lacs),"36,958.92",,,,
Free_Float_Market_Cap (crs),"5,86,051.00",,,,
Fifty_Two_week_high,"1,596.85",,,,
Fifty_Two_week_low,794.8,,,,
Lower_Price_Band,"1,422.75",,,,
Upper_Price_Band,"1,738.85",,,,
Symbol P/E: ,35.9,,,,
Sectoral Index P/E: ,31.89,,,,
Sectoral Index: ,NIFTY IT                                          ,,,,
